asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0936PG85J,Luggage Sets 3 Piece Softside Expandable Lightweight Durable Suitcase Sets Double Spinner Wheels TSA Lock Blue (20in/24in/28in),https://m.media-amazon.com/images/I/81iKTQrJwYL._AC_UL320_.jpg,https://www.amazon.com/dp/B0936PG85J,4.5,0,151.99,0.0,104,False,100
B08GDP3LMH,"Sympatico Hardside Large Spinner Luggage, Matte Navy, 30-Inch Checked",https://m.media-amazon.com/images/I/8188Q5g-YuL._AC_UL320_.jpg,https://www.amazon.com/dp/B08GDP3LMH,4.6,0,769.0,0.0,104,False,0
B07BL9J2YP,"Maxlite 5 Softside Expandable Upright 2 Wheel Luggage, Lightweight Suitcase, Men and Women, Black, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/61sDfuDxhkL._AC_UL320_.jpg,https://www.amazon.com/dp/B07BL9J2YP,4.5,0,186.99,0.0,104,False,50
B017993CKY,"Silverwood Polycarbonate Hardside Expandable Spinner Luggage, Brushed Metal, Checked-Large 30-Inch",https://m.media-amazon.com/images/I/916h9KNgKYL._AC_UL320_.jpg,https://www.amazon.com/dp/B017993CKY,4.4,0,157.8,188.0,104,False,50
B0BXD8PG8D,"Retrogade Luggage Expandable 8-Wheel Spinner Lightweight Hardside Suitcase, Botanical Green, 28-inch Checked",https://m.media-amazon.com/images/I/61iTg+nFjVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BXD8PG8D,4.7,0,149.99,0.0,104,False,100
B0873QVTG7,"ZDX Luggage, Hunter, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/91iIv7oMYPL._AC_UL320_.jpg,https://www.amazon.com/dp/B0873QVTG7,4.6,0,579.0,0.0,104,False,0
B07YD3VZCG,"Elegance Carry On Suitcase, 20” Hardside Luggage with TSA Lock, Spinner Wheels-Black, 20-Inch",https://m.media-amazon.com/images/I/616M1sp0a1L._AC_UL320_.jpg,https://www.amazon.com/dp/B07YD3VZCG,4.4,0,199.99,259.99,104,False,50
B087TMNQNS,Chasm Sport Duffel Bag,https://m.media-amazon.com/images/I/61zeJnscnTL._AC_UL320_.jpg,https://www.amazon.com/dp/B087TMNQNS,4.8,0,145.02,169.95,104,False,100
B09H19P7CY,"Ultimax II 26"" Medium Trunk Spinner Luggage, Tie Down Straps, Matte Navy, Checked Inch",https://m.media-amazon.com/images/I/61RsVxJlOeL._AC_UL320_.jpg,https://www.amazon.com/dp/B09H19P7CY,4.6,0,179.99,0.0,104,False,50
B0BS8N7VLY,"Helium DLX Softside Luggage Under-Seater with 2 Wheels, Navy Blue, Carry on 16 Inch",https://m.media-amazon.com/images/I/81HsUyDNK3L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS8N7VLY,3.9,0,108.0,139.99,104,False,100
B0B42B6NBQ,"Luggage 10-Piece Sets,ABS Hardside Suitcase with Spinner Wheels,TSA Lock Luggage Sets for Women and Men (Black)…",https://m.media-amazon.com/images/I/71Jpjr3VIXL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B42B6NBQ,4.4,0,199.98,0.0,104,False,50
B07J9Q3YJ9,"Disney Mickey Mouse 25 Inch Rolling Luggage, Hardside Suitcase with Spinner Wheels, Black",https://m.media-amazon.com/images/I/61JzlOG68pL._AC_UL320_.jpg,https://www.amazon.com/dp/B07J9Q3YJ9,4.2,0,77.99,189.99,104,False,100
B07VGVBVW9,"Torq Hardside Luggage, Stealth, Checked-X-Large Trunk 32-Inch",https://m.media-amazon.com/images/I/81Gg1bpMakL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VGVBVW9,4.2,0,729.0,0.0,104,False,0
